# These data are from NREL modeled from REV. Link to data here https://www.nrel.gov/gis/wind-supply-curves.html,,,,,,,,
Grid,latitude,longitude,area_sq_km,capacity_mw,generation_mwh,capacity_factor,wind_speed_120meters,distance_to_transmission_km
11959,42.98699951,-71.44499969,10.206,30.618,91862.85,0.342498749,6.513158798,0.171435994
13666,44.25899887,-88.38400269,6.966,20.898,79465.79311,0.434081614,7.505261898,0.465899678
15670,42.83000183,-78.57700348,22.7124,68.1372,236454.6426,0.396149814,7.216615677,0.347323294
37167,37.41799927,-94.68000031,65.4156,196.2468,787568.1323,0.458122313,7.929971695,0.603577586
26621,40.46099854,-88.69200134,130.1184,390.3552,1557545.752,0.455487788,7.848648071,0.522545771
23,48.73899841,-122.4369965,40.824,122.472,320985.7247,0.299188435,6.303719997,0.361322243
57853,27.69799995,-97.37799835,11.0889,33.2667,122396.6713,0.420006275,7.400924206,0.507814189
33785,38.00999832,-84.48999786,10.7406,32.2218,108160.9204,0.383192033,7.138471603,0.322487743
51196,32.63399887,-92.06300354,21.0924,63.2772,189023.1464,0.341007262,6.51936245,0.302308955
52260,31.75799942,-106.3779984,4.55625,13.66875,30939.98472,0.258396834,5.908926487,0.321152721
37029,36.07099915,-114.8280029,8.9019,26.7057,72056.11563,0.308008552,6.245429039,0.384261487
17936,42.81200027,-85.55200195,50.8032,152.4096,557857.434,0.417836905,7.382604599,0.496655076
16618,43.2519989,-86.23600006,13.4541,40.3623,147028.042,0.415834159,7.373305321,0.504006093
46552,33.93799973,-84.36000061,4.92885,14.78655,39563.88784,0.305441469,6.161484241,0.325670575
37595,36.33200073,-79.83799744,108.9288,326.7864,892826.2821,0.311888158,6.222129822,0.4472452
27364,39.18099976,-77.2559967,30.7476,92.2428,292937.1533,0.362524927,6.792089939,0.322950626
19248,42.23500061,-83.25700378,4.20795,12.62385,39730.25244,0.359273672,6.807589531,0.446664812
23932,40.7879982,-82.52200317,61.0092,183.0276,688978.5487,0.429719448,7.662136555,0.393727282
49937,33.19100189,-96.44400024,81.5184,244.5552,956982.2063,0.4467071,7.682215214,0.606912045
31814,39.08100128,-94.64600372,7.14015,21.42045,80389.85816,0.428418845,7.629939079,0.64781085
56191,30.09199905,-93.81300354,16.3053,48.9159,152222.625,0.35524261,6.710563183,0.345842526
14278,44.23699951,-93.45700073,78.0192,234.0576,943046.211,0.459945232,7.844688416,0.598053258
29148,39.58300018,-104.9020004,6.4557,19.3671,37962.59954,0.223762468,5.553991318,0.305608871
56352,29.8579998,-89.97100067,2.4948,7.4844,19932.30325,0.304015964,6.242931843,0.298034027
25014,39.58800125,-75.24500275,44.712,134.136,474285.2482,0.403636247,7.194072723,0.38256318
50447,32.98600006,-94.63200378,43.0272,129.0816,439500.9182,0.388679236,7.057866096,0.602915611
5656,47.17300034,-94.13300323,7.0227,21.0681,79767.61778,0.432212323,7.443919659,0.576164274
45411,33.98400116,-81.04100037,2.419875,7.259625,16423.77567,0.258258551,5.618468761,0.404393477
16242,43.67100143,-95.15200043,104.5872,313.7616,1370922.69,0.498780042,8.393557549,0.675735877
23984,39.87400055,-75.15200043,1.3294125,3.9882375,11369.0334,0.325415641,6.359758854,0.328620922
47412,33.64400101,-84.40799713,0.714825,2.144475,6199.265932,0.330000937,6.475017548,0.404177308
53343,31.70499992,-96.18099976,33.3396,100.0188,376029.4069,0.429176629,7.45264864,0.631397936
27038,39.17900085,-76.53500366,5.1759,15.5277,44336.26678,0.325947672,6.348850727,0.33131023
28164,39.85599899,-105.2269974,61.722,185.166,407521.6244,0.251237988,6.258713722,0.372243497
33437,38.5019989,-90.87400055,100.3104,300.9312,1025838.918,0.389141768,7.037931442,0.549282518
32168,38.86500168,-90.13999939,22.761,68.283,217216.0866,0.363141,6.735014915,0.516746925
55635,30.41300011,-91.1780014,12.6765,38.0295,105637.8516,0.317098975,6.20416069,0.339434322
9016,45.75400162,-87.08399963,4.38615,13.15845,49177.60927,0.426637053,7.366962433,0.613329164
9864,45.56700134,-89.15799713,2.0158875,6.0476625,22898.6058,0.432232469,7.513028145,0.621624344
48623,33.52000046,-102.4449997,128.4984,385.4952,1527389.379,0.452300102,8.084602356,0.760160565
25618,40.65100098,-86.9260025,129.4704,388.4112,1431906.538,0.420841753,7.416567802,0.613053004
2287,48.64400101,-94.58000183,1.1583,3.4749,12723.03056,0.417969078,7.29370451,0.618252245
28357,38.93099976,-77.61599731,80.4168,241.2504,742441.6208,0.351309717,6.659439564,0.37807842
55465,30.51300049,-91.17199707,15.2523,45.7569,126142.6816,0.314703345,6.197151661,0.353536857
43180,35.54999924,-97.53199768,29.4192,88.2576,367507.7928,0.475346535,8.170117378,0.832417951
51409,32.59700012,-95.66799927,41.8932,125.6796,458062.3009,0.416059703,7.345491886,0.660820939
44996,34.9659996,-96.72100067,121.0464,363.1392,1501466.313,0.471996039,8.018562317,0.836888065
58225,26.08399963,-97.23200226,6.9417,20.8251,91269.31698,0.500303566,8.212449074,0.804069692
33996,38.40299988,-96.1989975,59.2272,177.6816,722256.9452,0.464029044,7.938467979,0.837015466
