Plant Code,Plant Name,Prime Mover,Energy Source 1,Operating Year,Nameplate Capacity (MW)
61605.0,San Luis Valley Solar Array,PV,SUN,2017,2
61604.0,Camden CSD Solar Array,PV,SUN,2017,1
61603.0,UMASS,PV,SUN,2016,4
61602.0,CED Chicopee Solar,PV,SUN,2017,3
61598.0,Tyngsborough Solar,PV,SUN,2017,2
61597.0,Norton Landfill Solar,PV,SUN,2017,1
61596.0,Citizens Agawam Landfill Solar,PV,SUN,2017,1
61595.0,Flambeau Solar Partners,PV,SUN,2017,2
61594.0,Westmont 401,PV,SUN,2017,2
61593.0,Westmont 301,PV,SUN,2017,1
61591.0,Town of Foxborough - Landfill (SREC II) CSG,PV,SUN,2017,1
61590.0,NRG DG Foxborough Elm CSG,PV,SUN,2017,2
61589.0,UL Advanced Wind Turbine Test Facility,WT,WND,2016,0
61587.0,WaveSun,PV,SUN,2017,5
61586.0,MontSun,PV,SUN,2017,5
61581.0,"Davis Lane Solar, LLC",PV,SUN,2017,5
61580.0,"Tumbleweed Solar, LLC",PV,SUN,2017,9
61569.0,Mount Sinai Beth Israel,IC,DFO,1988,1
61568.0,The Allen Hospital,IC,DFO,2009,1
61567.0,Woodhull Hospital,IC,DFO,1972,7
61563.0,Denver Metro Solar,PV,SUN,2017,1
61562.0,Falmouth Landfill Solar,PV,SUN,2017,3
61561.0,Bladen Solar,PV,SUN,2017,50
61560.0,Eagle Point Solar,PV,SUN,2017,9
61559.0,Woodline Solar,PV,SUN,2017,8
61556.0,Facebook 1 Solar Energy Center,PV,SUN,2017,10
61555.0,NRG DG Crystal Spring,PV,SUN,2017,4
61553.0,Klamath Falls Solar 2,PV,SUN,2017,2
61552.0,Fort Detrick Solar PV,PV,SUN,2016,15
61551.0,Good Samaritan Hospital,IC,DFO,1980,1
61550.0,NRG DG Haverhill,PV,SUN,2017,4
61548.0,"CF Novel Solar CSG Gardens Seven, LLC",PV,SUN,2017,3
61545.0,"CGSun, LLC",PV,SUN,2017,4
61543.0,"CF Novel Solar CSG Gardens Five, LLC",PV,SUN,2017,3
61542.0,"PopeSun CSG, LLC",PV,SUN,2017,5
61540.0,Fort Hays State University Wind Farm,WT,WND,2013,4
61539.0,GELD Solar Farm,PV,SUN,2016,2
61538.0,Braintree Landfill Solar,PV,SUN,2014,1
61537.0,Weston Landfill Solar,PV,SUN,2016,1
61536.0,Wakefield Solar,PV,SUN,2017,5
61535.0,Statesville Solar,PV,SUN,2017,5
61532.0,Leon Solar,PV,SUN,2017,10
61531.0,Island Grove Solar,PV,SUN,9999,2
61529.0,Estill Solar II,PV,SUN,2017,10
61528.0,Bayboro Solar Farm,PV,SUN,2017,5
61527.0,Bakatsias Solar,PV,SUN,2017,5
61525.0,ABD Farms,PV,SUN,2017,5
61524.0,Whitewright Solar,PV,SUN,2017,10
61523.0,Haley Solar,PV,SUN,2017,8
61522.0,Champion Solar,PV,SUN,2017,10
61521.0,Swamp Fox Solar,PV,SUN,2017,10
61520.0,Rosewood Solar,PV,SUN,2016,2
61519.0,Baker Point,PV,SUN,2016,9
61518.0,301 Chestnut Solar NG,PV,SUN,2017,4
61515.0,DG Camden LLC Holtec,PV,SUN,2017,2
61514.0,North Gainesville Solar,PV,SUN,2017,5
61513.0,Marlin Solar,PV,SUN,2017,5
61512.0,"Bullock Solar, LLC",PV,SUN,2017,50
61510.0,"Monroe County Sites C, D, & E",PV,SUN,2017,6
61509.0,Monroe County Sites A & B,PV,SUN,2017,2
61499.0,CED Foster,PV,SUN,2017,2
61498.0,Hampton Solar 2,PV,SUN,2017,20
61493.0,Harvest Moon Renewable Energy Company,PV,SUN,2015,1
61491.0,First Citizens Bank,PV,SUN,2012,1
61490.0,Estill Solar,PV,SUN,2017,20
61489.0,Cameron Solar,PV,SUN,2017,20
61488.0,NYU LANGONE HEALTH,IC,DFO,1992,15
61487.0,SL Babylon,PV,SUN,2017,9
61482.0,"CoreSite Real Estate 3032 Coronado, L.P.",IC,DFO,2015,30
61476.0,"CoreSite Real Estate 2901 Coronado, L.P.",IC,DFO,2010,10
61475.0,"CoreSite Real Estate 1656 McCarthy, L.P.",IC,DFO,2000,5
61474.0,CoreSite Real Estate 55 S. Market Street,IC,DFO,2007,6
61473.0,Hopewell Valley High School,BA,MWH,2015,1
61472.0,San Luis Solar Garden,PV,SUN,2017,1
61468.0,Valdosta Prison,PV,SUN,2017,1
61467.0,City of Lexington,PV,SUN,2017,3
61466.0,IOS - ERW9,PV,SUN,2017,5
61465.0,IGS Solar I - BWI2,PV,SUN,2017,1
61464.0,"CoreSite Real Estate 2972 Stender, L.P.",IC,DFO,2011,12
61463.0,Vandenberg Solar Project,PV,SUN,2017,22
61462.0,SR Platte Solar Farm,PV,SUN,2017,16
61460.0,IOS - MEW Phase 1,PV,SUN,2017,4
61459.0,Georgia Power at Swainsboro,PV,SUN,2017,2
61458.0,Martin Solar Center,PV,SUN,2017,5
61457.0,Palmer Solar Center,PV,SUN,2017,5
61456.0,Montgomery Winsted CSG,PV,SUN,2017,3
61455.0,B.R. Sauk Rapids CSG,PV,SUN,2017,5
61454.0,B.R. Sartell CSG,PV,SUN,2017,3
61453.0,B.R. Corcoran CSG,PV,SUN,2017,5
61452.0,Waterford Holdco CSG,PV,SUN,2017,2
61451.0,Northfield Holdco CSG,PV,SUN,2017,5
61441.0,Denver Braswell PV,PV,SUN,2017,1
61439.0,Panasonic Carport Solar,BA,MWH,2017,2
61430.0,"OR Solar 6, LLC",PV,SUN,2017,10
61427.0,Richmond CSG,PV,SUN,2017,5
61425.0,Coyote Ridge Community Solar,PV,SUN,2017,1
61422.0,"Southampton Solar, LLC",PV,SUN,2017,100
61421.0,Madera 1 PV,PV,SUN,2017,1
61419.0,One Ten Partners PV,PV,SUN,2017,2
61418.0,Valencia 1 Solar CA,PV,SUN,2017,3
61416.0,Mount Sinai Hospital,IC,DFO,1970,12
61415.0,West Boylston Community Shared Solar,PV,SUN,2016,1
61414.0,NY Times Daily Production Facility,IC,DFO,2005,12
61413.0,NYC-HH - CONEY ISLAND HOSPITAL,IC,DFO,1993,2
61411.0,Whitesboro Solar II,PV,SUN,2017,5
61410.0,Whitesboro Solar,PV,SUN,2017,5
61409.0,Highway 56 Solar,PV,SUN,2017,5
61408.0,Canis Minor Solar Farm,PV,SUN,2016,1
61407.0,Cottonwood Wind Energy Center,WT,WND,2017,89
61406.0,Essex Solar Center,PV,SUN,2017,20
61405.0,Moorings Farm 2,PV,SUN,2017,5
61404.0,Pikeville Farm,PV,SUN,2017,5
61403.0,Deep Branch Farm,PV,SUN,2017,5
61399.0,Ashby Duffy CSG Solar Farm,PV,SUN,2017,1
61398.0,Canis Major Solar Farm,PV,SUN,2016,2
61397.0,Georgia Power at Jakin GA PV,PV,SUN,2017,1
61389.0,Letchworth Solar Project,PV,SUN,2017,1
61388.0,AEP Jacksonville Solar Project,PV,SUN,2017,7
61387.0,Georgia LFG Richland Creek Plant,IC,LFG,2016,10
61386.0,Georgia LFG Pine Ridge Plant,IC,LFG,2016,6
61385.0,Georgia LFG Oak Grove Plant,IC,LFG,2016,6
61383.0,Rengstorf Solar CSG,PV,SUN,2017,5
61381.0,Koppelman Sun CSG,PV,SUN,2017,5
61379.0,DodgeSun CSG,PV,SUN,2017,5
61378.0,Northern Westchester Hospital,IC,DFO,1971,4
61377.0,Amazon - Patterson PV,PV,SUN,2017,2
61376.0,Cedar Creek PV,PV,SUN,2017,1
61375.0,Cherrydale Solar Power Facility,PV,SUN,2017,20
61374.0,Clarke Solar Power Facility,PV,SUN,2017,10
61373.0,Kearsarge Bellingham PV,PV,SUN,2016,2
61371.0,Centaurus Solar - MA,PV,SUN,2016,2
61370.0,Walnut Springs Solar,PV,SUN,2016,5
61367.0,Smith & Wesson at Springfield MA PV,PV,SUN,2017,1
61363.0,Equuleus Community Solar Gardens,PV,SUN,2017,5
61362.0,NRG Elbow Creek Energy Storage Project,BA,MWH,2017,2
61361.0,Utica Aero Solar Max PV,PV,SUN,9999,12
61360.0,IGS Solar I - EWR6,PV,SUN,2016,1
61359.0,IGS Solar I - EWR5,PV,SUN,2016,1
61358.0,IGS Solar I - BWI5,PV,SUN,2016,1
61357.0,Red Pine Wind Project,WT,WND,2017,200
61355.0,Arlington Outlet Hydroelectric Generator,HY,WAT,2015,1
61354.0,Princeton Solar Project,PV,SUN,2017,2
61352.0,Bondi Solar,PV,SUN,2017,5
61351.0,Bear Creek Solar,PV,SUN,2017,2
61350.0,MDFA Devens-Saratoga,PV,SUN,2016,2
61349.0,Westmont 400B,PV,SUN,2017,2
61348.0,Westmont 400A,PV,SUN,2017,2
61347.0,Long Henry Solar,PV,SUN,2017,2
61342.0,Barrett PV,PV,SUN,2016,11
61341.0,Grafton PV,PV,SUN,2016,2
61340.0,Next Generation Solar Farm,PV,SUN,2017,2
61338.0,Mill Creek Solar (OR),PV,SUN,2017,2
61337.0,"Magpie Solar, LLC",PV,SUN,2017,3
61336.0,"Black Eagle Solar, LLC",PV,SUN,2017,3
61335.0,"Great Divide Solar, LLC",PV,SUN,2017,3
61330.0,Hog Creek Wind Project,WT,WND,2017,66
61328.0,Crater Community Solar,PV,SUN,2017,3
